fips,ir_wfrto,ir_recww,cluster_model2,color
20199,35.79,0.0,43,red
30001,832.32,0.0,13,orange
30005,343.05,0.0,5,red
30007,197.95,0.0,49,red
30011,34.75,0.0,43,red
30013,170.92,0.0,21,red
30015,90.29,0.0,21,red
30017,131.57,0.0,21,red
30019,6.24,0.0,27,red
30021,78.99,0.0,43,red
30023,68.91,0.0,43,red
30025,0.5,0.0,27,red
30027,122.96,0.0,21,red
30033,10.9,0.0,27,red
30041,48.62,0.0,43,red
50009,0.0,0.0,27,red
36013,0.86,0.0,0,red
36103,9.07,0.0,22,red
25005,10.08,0.0,38,red
36081,0.23,0.0,27,red
36081,0.23,0.0,27,red
36047,0.05,0.0,27,red
36045,0.54,0.0,0,red
33009,0.38,0.0,0,red
54041,0.07,0.0,27,red
54033,0.22,0.0,27,red
54017,0.0,0.0,27,red
13317,0.06,0.0,27,red
13315,8.45,0.0,27,red
13313,0.13,0.0,27,red
13311,0.0,0.0,27,red
13309,1.99,0.0,27,red
13307,4.37,0.0,27,red
13305,2.25,0.0,27,red
13303,1.24,0.0,27,red
13301,0.0,0.0,27,red
13299,1.37,0.0,27,red
13295,0.0,0.0,27,red
13291,0.19,0.0,27,red
13289,1.26,0.0,27,red
13287,11.48,0.0,27,red
13285,0.08,0.0,27,red
13283,1.73,0.0,27,red
13281,0.09,0.0,27,red
13279,8.43,0.0,27,red
13277,12.44,0.0,0,red
13275,3.69,0.0,27,red
13273,14.89,0.0,27,red
13271,2.38,0.0,27,red
13267,6.96,0.0,27,red
13265,0.0,0.0,27,red
13263,0.0,0.0,27,red
13261,20.57,0.0,43,red
13259,0.71,0.0,27,red
13257,0.31,0.0,0,red
13255,0.28,0.0,27,red
13251,13.01,0.0,27,red
13249,0.15,0.0,27,red
13247,0.58,0.0,0,red
13245,0.59,0.0,0,red
13243,17.81,0.0,27,red
13241,0.26,0.0,27,red
13237,0.35,0.0,27,red
13235,10.34,0.0,27,red
13233,0.16,0.0,27,red
13231,1.15,0.0,27,red
13229,3.78,0.0,27,red
13227,0.09,0.0,27,red
13225,4.27,0.0,27,red
13223,0.59,0.0,0,red
13221,0.27,0.0,27,red
13219,3.44,0.0,27,red
13217,0.53,0.0,0,red
13215,0.41,0.0,0,red
13091,6.8,0.0,27,red
13093,13.79,0.0,27,red
13095,14.54,0.0,38,red
13097,0.38,0.0,0,red
13099,21.56,0.0,43,red
13101,1.5,0.0,27,red
13105,0.88,0.0,27,red
13107,2.07,0.0,27,red
13111,0.02,0.0,27,red
13113,0.66,0.0,0,red
13115,1.59,0.0,0,red
13117,0.44,0.0,27,red
13119,0.97,0.0,27,red
13123,0.21,0.0,27,red
13125,0.0,0.0,27,red
13129,1.17,0.0,27,red
13131,5.53,0.0,27,red
13133,1.14,0.0,0,red
13135,1.34,0.0,38,red
13137,0.22,0.0,27,red
13139,0.68,0.0,0,red
13141,0.56,0.0,27,red
13143,0.14,0.0,27,red
13145,0.03,0.0,27,red
13147,0.92,0.0,27,red
13149,0.0,0.0,27,red
13151,1.55,0.0,38,red
13153,6.03,0.0,0,red
13155,15.78,0.0,27,red
13157,0.29,0.0,27,red
13063,0.1,0.0,27,red
13163,15.87,0.0,27,red
18163,0.32,0.0,27,red
18161,0.06,0.0,27,red
18159,0.0,0.0,27,red
18157,0.75,0.0,27,red
18155,0.0,0.0,27,red
18153,2.98,0.0,27,red
18151,0.85,0.0,27,red
18149,4.52,0.0,27,red
18147,0.63,0.0,27,red
18145,0.86,0.0,27,red
18143,0.0,0.0,27,red
18141,7.83,0.0,0,red
18139,0.05,0.0,27,red
18175,0.0,0.0,27,red
18135,0.01,0.0,27,red
18133,0.0,0.0,27,red
18131,4.51,0.0,27,red
18129,1.27,0.0,27,red
18127,1.47,0.0,27,red
18125,0.04,0.0,27,red
18123,0.0,0.0,27,red
18121,0.62,0.0,27,red
18119,0.0,0.0,27,red
18117,0.08,0.0,27,red
18115,0.24,0.0,27,red
18113,2.87,0.0,27,red
18111,0.84,0.0,27,red
18109,0.03,0.0,27,red
18107,0.18,0.0,27,red
18105,0.09,0.0,27,red
18103,0.23,0.0,27,red
18101,0.04,0.0,27,red
19163,0.25,0.0,27,red
19161,0.17,0.0,27,red
19159,0.03,0.0,27,red
19157,0.0,0.0,27,red
19155,0.32,0.0,27,red
19153,0.49,0.0,0,red
19151,0.02,0.0,27,red
19149,0.52,0.0,27,red
19147,1.25,0.0,27,red
19145,0.01,0.0,27,red
19143,0.67,0.0,27,red
19141,0.11,0.0,27,red
19139,2.86,0.0,27,red
19137,0.01,0.0,27,red
19135,0.0,0.0,27,red
19133,7.66,0.0,27,red
19131,0.23,0.0,27,red
19129,0.4,0.0,27,red
19127,0.02,0.0,27,red
19125,0.0,0.0,27,red
19123,0.02,0.0,27,red
19121,0.16,0.0,27,red
19119,0.83,0.0,27,red
19117,0.0,0.0,27,red
19115,3.55,0.0,27,red
19113,0.48,0.0,0,red
19111,0.54,0.0,27,red
19109,0.25,0.0,27,red
19107,0.0,0.0,27,red
19103,0.38,0.0,0,red
19101,0.0,0.0,27,red
19097,0.03,0.0,27,red
51137,0.31,0.0,27,red
51157,0.07,0.0,27,red
51165,1.82,0.0,27,red
51171,0.46,0.0,27,red
51187,0.14,0.0,27,red
51003,0.93,0.0,0,red
51177,0.22,0.0,27,red
51015,1.18,0.0,27,red
51069,0.18,0.0,27,red
51079,0.04,0.0,27,red
51047,0.3,0.0,27,red
51043,0.13,0.0,27,red
51113,0.04,0.0,27,red
51139,0.32,0.0,27,red
54065,0.08,0.0,27,red
54037,0.16,0.0,27,red
54031,0.04,0.0,27,red
54003,0.13,0.0,27,red
24013,0.21,0.0,27,red
24027,0.44,0.0,0,red
51107,0.95,0.0,0,red
51091,0.03,0.0,27,red
54071,0.04,0.0,27,red
51061,0.28,0.0,27,red
24001,0.08,0.0,27,red
54057,0.04,0.0,27,red
54023,0.0,0.0,27,red
51660,0.07,0.0,27,red
51820,0.05,0.0,27,red
51840,0.0,0.0,27,red
51790,0.11,0.0,27,red
13213,0.19,0.0,27,red
13211,1.5,0.0,0,red
13209,1.01,0.0,27,red
13207,0.43,0.0,0,red
13205,52.04,0.0,43,red
13201,35.22,0.0,43,red
13199,0.18,0.0,27,red
13197,0.85,0.0,27,red
13195,0.19,0.0,27,red
13189,0.43,0.0,27,red
13187,0.21,0.0,27,red
13185,2.03,0.0,0,red
13181,0.0,0.0,27,red
13175,3.89,0.0,27,red
13173,1.38,0.0,27,red
13171,1.1,0.0,27,red
13169,0.16,0.0,27,red
13167,0.98,0.0,27,red
13165,6.85,0.0,27,red
13319,0.04,0.0,27,red
13161,2.33,0.0,27,red
13293,0.4,0.0,27,red
13193,11.98,0.0,27,red
13109,2.73,0.0,27,red
13177,27.26,0.0,43,red
13269,0.29,0.0,27,red
13027,9.64,0.0,27,red
