fips,to_wtotl,ps_wtotl,cluster_model3,color
13199,1.64,0.31,4,red
13197,5.1,1.41,4,red
13195,3.25,0.53,4,red
13189,3.6,2.59,4,red
13187,3.39,1.27,4,red
13185,28.4,13.16,31,red
13181,0.32,0.01,4,red
13175,20.87,3.54,4,red
13173,2.37,0.36,4,red
13171,4.01,1.87,4,red
13169,4.51,2.73,4,red
13167,2.16,0.53,4,red
13165,8.0,0.45,4,red
13319,15.12,0.7,4,red
13161,4.12,0.9,4,red
13293,4.83,3.02,4,red
13193,25.42,1.03,4,red
13109,5.48,0.54,4,red
13177,30.48,1.87,4,red
13269,3.62,0.62,4,red
13027,12.58,0.9,4,red
13001,67.35,0.76,21,red
13003,3.09,0.43,4,red
13005,6.04,0.98,4,red
13007,24.54,0.15,4,red
13009,4.39,3.82,4,red
13011,4.15,2.61,4,red
13013,7.92,4.46,4,red
13015,93.09,52.41,17,red
13017,6.16,2.46,4,red
13019,7.39,0.78,4,red
13021,47.39,24.13,39,red
13023,6.83,0.2,4,red
13025,1.54,0.24,4,red
13031,11.08,4.77,4,red
13033,87.27,0.85,21,red
13035,2.99,2.74,4,red
13037,17.63,0.44,4,red
13043,2.91,0.41,4,red
13045,14.16,11.32,31,red
13047,5.85,4.68,31,red
13053,0.92,0.31,4,red
13055,9.81,2.8,4,red
13057,22.35,19.29,39,red
13059,13.12,11.48,31,red
13321,25.82,1.01,4,red
13065,1.15,0.45,4,red
13067,58.14,42.22,11,red
13069,15.37,4.05,4,red
13071,26.84,3.11,4,red
13073,18.76,15.92,31,red
13075,10.16,1.4,4,red
13077,32.32,7.45,31,red
13079,3.63,0.4,4,red
13081,17.71,2.01,4,red
13083,2.25,2.02,4,red
13085,2.36,1.51,4,red
13089,1.68,0.0,33,red
26001,6.08,0.06,4,red
26165,21.14,2.65,4,red
26069,2.91,1.2,4,red
26015,9.81,1.57,4,red
26023,24.45,2.77,4,red
26025,28.65,12.53,31,red
26027,36.45,1.15,4,red
26035,4.17,1.12,4,red
26037,10.01,1.16,4,red
26039,2.14,0.66,4,red
26043,24.34,2.35,4,red
26045,8.61,2.63,4,red
26049,13.77,4.22,0,red
26051,2.05,0.45,4,red
26057,11.21,1.6,4,red
26059,10.32,2.01,4,red
26065,103.1,26.09,39,red
26067,11.08,4.99,4,red
26071,1.37,1.26,4,red
26073,14.94,3.01,4,red
26075,23.54,10.84,31,red
26077,69.06,24.35,39,red
26079,6.32,0.41,4,red
26081,27.76,9.01,0,red
26085,1.46,0.26,4,red
26087,7.05,0.4,4,red
26091,12.1,6.1,4,red
26093,21.74,6.92,31,red
26101,32.26,1.54,4,red
26107,15.84,1.27,4,red
26111,6.86,0.14,4,red
26113,6.97,0.38,4,red
26117,56.55,3.06,21,red
26119,1.0,0.12,4,red
26123,10.1,1.87,4,red
26125,49.79,19.11,33,red
