year,FIPS,normal_wet,abnormally_dry,moderate_drought,severe_drought,extreme_drought,exceptional_drought
2000,13301,0.0,100.0,100.0,62.73,34.3,15.99
2000,13303,0.0,100.0,100.0,69.06,34.47,12.36
2000,13305,8.04,91.96,67.94,43.79,6.56,0.0
2000,13307,0.0,100.0,100.0,99.98,45.72,12.69
2000,13309,0.0,100.0,99.96,76.23,16.84,7.69
2000,13311,0.0,100.0,100.0,51.38,17.1,0.01
2000,13313,0.0,100.0,97.81,47.87,9.37,0.0
2000,13315,0.0,100.0,99.9,87.14,26.5,7.69
2000,13317,0.0,100.0,100.0,60.72,35.11,15.38
2000,13319,0.0,100.0,100.0,77.61,38.46,11.55
2000,13321,0.0,100.0,96.53,86.86,22.87,6.05
2000,15001,35.11,64.89,56.35,18.29,3.78,0.0
2000,15003,62.88,37.12,22.34,0.0,0.0,0.0
2000,15005,0.0,100.0,84.62,42.88,0.0,0.0
2000,15007,57.0,43.0,25.85,10.69,0.0,0.0
2000,15009,17.1,82.9,72.98,33.21,8.13,0.0
2000,16001,72.95,27.05,3.6,0.0,0.0,0.0
2000,16003,75.35,24.65,4.22,0.0,0.0,0.0
2000,16005,51.92,48.08,32.2,11.17,0.0,0.0
2000,16007,52.62,47.38,28.85,12.85,0.0,0.0
2000,16009,96.98,3.02,0.0,0.0,0.0,0.0
2000,16011,52.41,47.59,31.52,6.02,0.0,0.0
2000,16013,63.5,36.5,29.35,1.38,0.0,0.0
2000,16015,70.64,29.36,20.58,0.0,0.0,0.0
2000,16017,99.82,0.18,0.0,0.0,0.0,0.0
2000,16019,53.08,46.92,29.36,5.2,0.0,0.0
2000,16021,99.34,0.66,0.0,0.0,0.0,0.0
2000,16023,60.27,39.73,30.6,0.0,0.0,0.0
2000,16025,67.19,32.81,28.21,0.0,0.0,0.0
2000,16027,76.02,23.98,2.6,0.0,0.0,0.0
2000,16029,51.86,48.14,31.01,15.49,0.0,0.0
2000,16031,62.79,37.21,28.79,9.21,0.0,0.0
2000,16033,58.09,41.91,15.93,3.28,0.0,0.0
2000,16035,75.2,24.8,0.36,0.0,0.0,0.0
2000,16037,66.21,33.79,29.01,0.01,0.0,0.0
2000,16039,69.1,30.9,16.71,0.0,0.0,0.0
2000,16041,53.45,46.55,28.92,7.14,0.0,0.0
2000,16043,57.05,42.95,9.8,5.71,0.0,0.0
2000,16045,75.0,25.0,5.03,0.0,0.0,0.0
2000,16047,66.55,33.45,26.5,0.0,0.0,0.0
2000,16049,68.14,31.86,13.14,0.37,0.0,0.0
2000,16051,57.48,42.52,24.41,0.71,0.0,0.0
2000,16053,64.72,35.28,28.28,3.82,0.0,0.0
2000,16055,98.55,1.45,0.0,0.0,0.0,0.0
2000,16057,94.4,5.6,0.0,0.0,0.0,0.0
2000,16059,64.18,35.82,29.3,7.65,0.91,0.0
2000,16061,86.2,13.8,0.0,0.0,0.0,0.0
2000,16063,64.91,35.09,28.85,1.33,0.0,0.0
2000,16065,56.8,43.2,10.85,5.77,0.0,0.0
2000,16067,60.6,39.4,29.7,8.0,0.0,0.0
2000,16069,88.46,11.54,0.0,0.0,0.0,0.0
2000,16071,56.54,43.46,32.3,7.11,0.0,0.0
2000,16073,71.34,28.66,2.57,0.0,0.0,0.0
2000,16075,77.0,23.0,3.81,0.0,0.0,0.0
2000,16077,52.54,47.46,31.92,11.34,0.0,0.0
2000,16079,87.2,12.8,0.0,0.0,0.0,0.0
2000,16081,55.41,44.59,10.06,5.77,0.0,0.0
2000,16083,66.94,33.06,20.78,0.43,0.0,0.0
2000,16085,69.39,30.61,24.28,0.0,0.0,0.0
2000,16087,77.27,22.73,3.85,0.0,0.0,0.0
2000,17001,47.46,52.54,48.08,30.62,0.0,0.0
2000,17003,43.19,56.81,6.76,0.0,0.0,0.0
2000,17005,51.5,48.5,42.88,4.24,0.0,0.0
2000,17007,61.54,38.46,21.15,0.0,0.0,0.0
2000,17009,48.08,51.92,48.08,32.69,0.0,0.0
2000,17011,59.7,40.3,38.5,1.72,0.0,0.0
2000,17013,50.0,50.0,42.14,16.56,0.0,0.0
2000,17015,59.34,40.66,21.49,0.17,0.0,0.0
2000,17017,48.5,51.5,48.08,32.43,0.0,0.0
2000,17019,51.92,48.08,42.24,14.26,0.0,0.0
2000,17021,51.92,48.08,48.08,25.95,0.0,0.0
2000,17023,53.85,46.15,38.8,0.08,0.0,0.0
2000,17025,54.01,45.99,32.94,0.0,0.0,0.0
2000,17027,51.37,48.63,32.62,1.32,0.0,0.0
2000,17029,52.24,47.76,40.43,4.28,0.0,0.0
2000,17031,61.42,38.58,26.51,0.89,0.0,0.0
2000,17033,54.47,45.53,34.39,0.0,0.0,0.0
2000,17035,53.05,46.95,39.95,0.25,0.0,0.0
2000,17037,61.54,38.46,23.42,0.0,0.0,0.0
2000,17039,50.33,49.67,47.31,21.67,0.0,0.0
2000,17041,51.92,48.08,42.04,9.36,0.0,0.0
2000,17043,61.54,38.46,25.15,0.0,0.0,0.0
2000,17045,52.97,47.03,40.63,4.07,0.0,0.0
2000,17047,65.05,34.95,8.82,0.0,0.0,0.0
2000,17049,52.29,47.71,39.42,0.02,0.0,0.0
2000,17051,51.92,48.08,41.54,1.73,0.0,0.0
2000,17053,52.3,47.7,40.59,12.33,0.0,0.0
2000,17055,60.99,39.01,6.44,0.0,0.0,0.0
2000,17057,50.38,49.62,43.37,25.11,0.0,0.0
2000,17059,79.37,20.63,0.0,0.0,0.0,0.0
2000,17061,50.0,50.0,47.18,29.91,0.0,0.0
2000,17063,58.75,41.25,37.69,2.63,0.0,0.0
2000,17065,68.59,31.41,4.46,0.0,0.0,0.0
2000,17067,36.71,63.29,47.63,25.5,0.0,0.0
2000,17069,70.83,29.17,0.0,0.0,0.0,0.0
2000,17071,34.75,65.25,42.64,15.61,0.0,0.0
2000,17073,55.7,44.3,40.38,4.31,0.0,0.0
2000,17075,52.63,47.37,40.95,10.16,0.0,0.0
2000,17077,56.34,43.66,12.56,0.0,0.0,0.0
2000,17079,53.85,46.15,37.33,0.0,0.0,0.0
2000,17081,53.13,46.87,14.95,0.0,0.0,0.0
2000,17083,50.0,50.0,42.77,10.22,0.0,0.0
2000,17085,59.55,40.45,16.75,0.01,0.0,0.0
2000,17087,65.06,34.94,3.53,0.0,0.0,0.0
2000,17089,61.54,38.46,22.52,0.0,0.0,0.0
2000,17091,56.58,43.42,38.78,5.77,0.0,0.0
2000,17093,61.54,38.46,28.42,0.0,0.0,0.0
2000,17095,54.62,45.38,41.47,10.5,0.0,0.0
2000,17097,61.54,38.46,20.57,0.0,0.0,0.0
2000,17099,60.08,39.92,35.89,1.57,0.0,0.0
2000,17101,58.44,41.56,20.59,0.0,0.0,0.0
2000,17103,61.54,38.46,28.3,0.02,0.0,0.0
2000,17105,55.56,44.44,39.61,7.43,0.0,0.0
2000,17107,50.0,50.0,48.08,27.78,0.0,0.0
2000,17109,43.11,56.89,44.19,26.4,0.0,0.0
2000,17111,61.54,38.46,21.15,0.0,0.0,0.0
2000,17113,50.98,49.02,41.1,18.07,0.0,0.0
2000,17115,51.35,48.65,48.08,22.59,0.0,0.0
2000,17117,50.01,49.99,47.24,22.24,0.0,0.0
2000,17119,50.0,50.0,37.52,4.89,0.0,0.0
2000,17121,51.98,48.02,31.47,0.0,0.0,0.0
2000,17123,55.99,44.01,40.27,5.77,0.0,0.0
2000,17125,49.9,50.1,46.89,26.76,0.0,0.0
2000,17127,61.68,38.32,0.59,0.0,0.0,0.0
2000,17129,50.0,50.0,48.08,30.61,0.0,0.0
2000,17131,47.37,52.63,41.99,5.78,0.0,0.0
2000,17133,48.29,51.71,20.5,3.85,0.0,0.0
2000,17135,51.5,48.5,47.62,15.52,0.0,0.0
2000,17137,49.48,50.52,48.08,32.69,0.0,0.0
2000,17139,51.92,48.08,43.28,9.42,0.0,0.0
2000,17141,61.53,38.47,21.16,0.0,0.0,0.0
2000,17143,55.65,44.35,40.72,15.86,0.0,0.0
2000,17145,51.53,48.47,13.28,0.0,0.0,0.0
2000,17147,51.92,48.08,43.64,15.35,0.0,0.0
2000,17149,49.86,50.14,47.72,31.83,0.0,0.0
2000,17151,66.84,33.16,0.05,0.0,0.0,0.0
2000,17153,52.39,47.61,5.11,0.0,0.0,0.0
2000,17155,59.14,40.86,38.7,3.22,0.0,0.0
2000,17157,48.15,51.85,16.42,1.79,0.0,0.0
2000,17159,55.64,44.36,25.95,0.0,0.0,0.0
2000,17161,53.08,46.92,40.76,5.16,0.0,0.0
2000,17163,49.86,50.14,29.29,3.8,0.0,0.0
2000,17165,77.05,22.95,0.91,0.0,0.0,0.0
2000,17167,50.7,49.3,48.08,32.63,0.0,0.0
2000,17169,46.44,53.56,48.08,30.62,0.0,0.0
2000,17171,50.0,50.0,48.08,32.69,0.0,0.0
2000,17173,51.92,48.08,44.2,6.59,0.0,0.0
2000,17175,55.94,44.06,40.38,5.73,0.0,0.0
2000,17177,60.86,39.14,18.97,0.0,0.0,0.0
2000,17179,51.74,48.26,42.16,23.87,0.0,0.0
2000,17181,56.22,43.78,7.82,0.0,0.0,0.0
2000,17183,51.92,48.08,42.43,12.67,0.0,0.0
2000,17185,71.16,28.84,5.79,0.0,0.0,0.0
2000,17187,48.28,51.72,42.31,13.72,0.0,0.0
2000,17189,51.46,48.54,24.3,0.2,0.0,0.0
2000,17191,57.59,42.41,13.85,0.0,0.0,0.0
2000,17193,77.93,22.07,0.46,0.0,0.0,0.0
2000,17195,58.52,41.48,33.91,1.8,0.0,0.0
2000,17197,59.13,40.87,34.28,3.06,0.0,0.0
2000,17199,69.0,31.0,3.89,0.0,0.0,0.0
2000,17201,61.54,38.46,21.11,0.0,0.0,0.0
2000,17203,55.44,44.56,40.38,13.04,0.0,0.0
2000,18001,59.62,40.38,38.46,30.77,0.0,0.0
2000,18003,59.62,40.38,38.46,31.31,0.0,0.0
2000,18005,69.26,30.74,12.33,0.0,0.0,0.0
2000,18007,51.92,48.08,45.78,24.47,0.0,0.0
2000,18009,59.43,40.57,38.46,32.69,0.0,0.0
2000,18011,52.05,47.95,40.31,22.17,0.0,0.0
2000,18013,64.11,35.89,15.36,0.0,0.0,0.0
2000,18015,51.92,48.08,46.15,34.21,0.0,0.0
2000,18017,51.94,48.06,45.98,38.16,0.0,0.0
2000,18019,84.47,15.53,1.92,0.0,0.0,0.0
