,STATE,COUNTYNAME,FIPS,LON,LAT
334,RI,Kent,44003,-71.5943,41.6719
335,NH,Rockingham,33015,-71.1251,42.9877
336,NJ,Union,34039,-74.3104,40.66
337,ME,York,23031,-70.7156,43.4796
338,ME,Cumberland,23005,-70.4096,43.8487
339,ME,Franklin,23007,-70.444,44.974
340,NJ,Bergen,34003,-74.0781,40.9615
341,CT,New London,9011,-72.1004,41.4893
342,MA,Suffolk,25025,-71.0818,42.3308
343,ME,Waldo,23027,-69.1478,44.5037
344,ME,Hancock,23009,-68.3531,44.6749
345,NY,Nassau,36059,-73.5885,40.7411
346,NJ,Essex,34013,-74.2481,40.7881
347,MA,Barnstable,25001,-70.2982,41.7257
348,ME,Kennebec,23011,-69.7672,44.4093
349,CT,Middlesex,9007,-72.534,41.4624
350,CT,Fairfield,9001,-73.3887,41.2731
351,NH,Coos,33007,-71.3057,44.6893
352,VT,Caledonia,50005,-72.1022,44.4647
353,KY,Madison,21151,-84.278,37.7202
354,KY,Magoffin,21153,-83.0648,37.7066
355,KY,Marion,21155,-85.2696,37.5525
356,KY,Marshall,21157,-88.3293,36.8834
357,KY,Martin,21159,-82.5132,37.8016
358,KY,Mason,21161,-83.824,38.5952
359,KY,Meade,21163,-86.2169,37.9695
360,KY,Menifee,21165,-83.5989,37.9414
361,KY,Mercer,21167,-84.8744,37.8111
362,KY,Metcalfe,21169,-85.6291,36.9905
363,KY,Monroe,21171,-85.7164,36.7122
364,KY,Montgomery,21173,-83.9132,38.0336
365,KY,Morgan,21175,-83.2589,37.9223
366,KY,Muhlenberg,21177,-87.1421,37.2157
367,KY,Nelson,21179,-85.4662,37.8051
368,KY,Nicholas,21181,-84.0153,38.3356
369,KY,Ohio,21183,-86.849,37.4783
370,KY,Oldham,21185,-85.4485,38.3995
371,KY,Owen,21187,-84.828,38.5197
372,KY,Owsley,21189,-83.6832,37.4192
373,KY,Pendleton,21191,-84.3602,38.6957
374,KY,Perry,21193,-83.2215,37.2443
375,KY,Pike,21195,-82.3958,37.469
376,KY,Powell,21197,-83.8238,37.8312
377,KY,Pulaski,21199,-84.5771,37.1039
378,KY,Robertson,21201,-84.0521,38.5188
379,KY,Rockcastle,21203,-84.316,37.3652
380,KY,Rowan,21205,-83.4211,38.1963
381,KY,Russell,21207,-85.0586,36.9911
382,KY,Scott,21209,-84.5839,38.2915
383,KY,Shelby,21211,-85.1948,38.2155
384,KY,Simpson,21213,-86.5823,36.7419
385,KY,Spencer,21215,-85.3279,38.0325
386,KY,Taylor,21217,-85.3279,37.3664
387,KY,Todd,21219,-87.1791,36.8356
388,KY,Trigg,21221,-87.8734,36.8064
389,KY,Trimble,21223,-85.3374,38.613
390,KY,Union,21225,-87.9453,37.6584
391,KY,Warren,21227,-86.4239,36.9936
392,KY,Washington,21229,-85.1747,37.7534
393,KY,Wayne,21231,-84.8285,36.8013
394,KY,Webster,21233,-87.6832,37.5183
395,KY,Whitley,21235,-84.1452,36.7582
396,KY,Wolfe,21237,-83.4931,37.7393
397,KY,Woodford,21239,-84.7435,38.0423
398,KY,Lee,21129,-83.7163,37.5947
399,KY,Fulton,21075,-89.1873,36.5541
400,KY,Adair,21001,-85.2805,37.1041
401,KY,Allen,21003,-86.1904,36.7513
402,KY,Anderson,21005,-84.9909,38.004
403,KY,Ballard,21007,-88.9992,37.0584
404,KY,Barren,21009,-85.9336,36.9656
405,KY,Bath,21011,-83.7428,38.1449
406,KY,Bell,21013,-83.674,36.7307
407,KY,Boone,21015,-84.7279,38.97
408,KY,Bourbon,21017,-84.2171,38.2068
409,KY,Boyd,21019,-82.6877,38.3596
410,KY,Boyle,21021,-84.8667,37.6244
411,KY,Bracken,21023,-84.0901,38.6888
412,KY,Breathitt,21025,-83.3241,37.5216
413,KY,Breckinridge,21027,-86.4293,37.7732
414,KY,Bullitt,21029,-85.6959,37.97
415,KY,Butler,21031,-86.6816,37.2074
416,KY,Caldwell,21033,-87.8679,37.1453
417,KY,Calloway,21035,-88.2723,36.6211
418,KY,Campbell,21037,-84.3793,38.9465
419,KY,Carlisle,21039,-88.9709,36.8532
420,KY,Carroll,21041,-85.1235,38.6679
421,KY,Carter,21043,-83.0495,38.3181
422,KY,Casey,21045,-84.9283,37.3223
423,KY,Christian,21047,-87.4904,36.8941
424,KY,Clark,21049,-84.1475,37.9709
425,KY,Clay,21051,-83.7146,37.1598
426,KY,Hopkins,21107,-87.541,37.3088
427,KY,Crittenden,21055,-88.0972,37.3527
428,KY,Cumberland,21057,-85.3884,36.7866
429,KY,Daviess,21059,-87.0873,37.7318
430,KY,Edmonson,21061,-86.2385,37.2087
431,KY,Elliott,21063,-83.0976,38.1179
432,KY,Estill,21065,-83.9643,37.6924
433,KY,Fayette,21067,-84.4588,38.0423
434,KY,Fleming,21069,-83.6967,38.3701
435,KY,Floyd,21071,-82.7457,37.5572
436,KY,Franklin,21073,-84.877,38.2391
437,KY,Gallatin,21077,-84.8592,38.7569
438,KY,Garrard,21079,-84.5376,37.6396
439,KY,Grant,21081,-84.6245,38.6488
440,KY,Graves,21083,-88.6512,36.723
441,KY,Grayson,21085,-86.3439,37.4608
442,KY,Green,21087,-85.5531,37.2639
443,KY,Greenup,21089,-82.9223,38.5456
444,KY,Hancock,21091,-86.778,37.8415
445,KY,Hardin,21093,-85.9635,37.6979
446,KY,Harlan,21095,-83.2179,36.857
447,KY,Harrison,21097,-84.3315,38.4418
448,KY,Hickman,21105,-88.9761,36.6781
449,KY,Henry,21103,-85.1189,38.4484
450,KY,Henderson,21101,-87.5729,37.7961
451,KY,Hart,21099,-85.8847,37.2999
452,KY,Laurel,21125,-84.1178,37.1107
453,KY,Clinton,21053,-85.1361,36.7275
454,MI,Roscommon,26143,-84.6116,44.3356
455,MI,Saginaw,26145,-84.0532,43.335
456,MI,St. Joseph,26149,-85.5278,41.9145
457,MI,Shiawassee,26155,-84.1467,42.9537
458,MI,Washtenaw,26161,-83.8384,42.2534
459,MS,Amite,28005,-90.8045,31.1744
460,MS,Attala,28007,-89.5817,33.0863
461,MS,Benton,28009,-89.1885,34.8173
462,MS,Adams,28001,-91.3531,31.4832
463,MS,Yalobusha,28161,-89.7076,34.0282
464,MS,Winston,28159,-89.0344,33.0885
465,MS,Wilkinson,28157,-91.3109,31.161
466,MS,Webster,28155,-89.2848,33.6131
467,MS,Wayne,28153,-88.6958,31.6408
468,MS,Washington,28151,-90.9474,33.2836
469,MS,Warren,28149,-90.8521,32.3573
470,MS,Walthall,28147,-90.1061,31.1485
471,MS,Union,28145,-89.0038,34.4905
472,MS,Tunica,28143,-90.3755,34.652
473,MS,Tishomingo,28141,-88.2393,34.7404
474,MS,Tippah,28139,-88.9089,34.7684
475,MS,Tate,28137,-89.9448,34.6503
476,MS,Tallahatchie,28135,-90.1732,33.9505
477,MS,Sunflower,28133,-90.5886,33.6023
478,MS,Stone,28131,-89.1177,30.79
479,MS,Smith,28129,-89.5067,32.0177
480,MS,Simpson,28127,-89.9195,31.9132
481,MS,Sharkey,28125,-90.8132,32.8797
482,MS,Scott,28123,-89.5376,32.4064
483,MS,Rankin,28121,-89.9457,32.2641
484,MS,Quitman,28119,-90.2891,34.2514
485,MS,Prentiss,28117,-88.5201,34.6183
486,MS,Pontotoc,28115,-89.0374,34.2254
487,MS,Perry,28111,-88.9923,31.172
488,MS,Panola,28107,-89.9505,34.3639
489,MS,Oktibbeha,28105,-88.8793,33.425
490,MS,Noxubee,28103,-88.5698,33.1101
491,MS,Newton,28101,-89.1188,32.4002
492,MS,Neshoba,28099,-89.1176,32.7535
493,MS,Montgomery,28097,-89.6164,33.4941
494,MS,Monroe,28095,-88.4804,33.8923
495,MS,Marshall,28093,-89.5031,34.7623
496,MS,Marion,28091,-89.8224,31.2308
497,IA,Clinton,19045,-90.532,41.898
498,IA,Crawford,19047,-95.3821,42.0372
499,IA,Dallas,19049,-94.0398,41.6849
500,IA,Davis,19051,-92.4097,40.7477
501,IA,Decatur,19053,-93.7863,40.7377
502,IA,Wright,19197,-93.7352,42.7331
503,IA,Winneshiek,19191,-91.8436,43.2906
504,IA,Woodbury,19193,-96.0449,42.3897
505,IA,Worth,19195,-93.2609,43.3774
506,IA,Jones,19105,-91.1314,42.1212
507,IA,Webster,19187,-94.1818,42.4278
508,IA,Winnebago,19189,-93.7342,43.3775
509,IL,Jackson,17077,-89.3821,37.7852
510,IL,Jefferson,17081,-88.924,38.3005
511,IL,Jersey,17083,-90.3566,39.0856
512,IL,Jo Daviess,17085,-90.2123,42.3657
513,IL,Johnson,17087,-88.8809,37.4596
514,IL,Kane,17089,-88.4287,41.939
515,IL,Kankakee,17091,-87.8618,41.1377
516,IL,Kendall,17093,-88.4289,41.5906
517,IL,Iroquois,17075,-87.8243,40.7474
518,IL,La Salle,17099,-88.8859,41.3439
519,IL,Lawrence,17101,-87.7266,38.72
520,IL,Henry,17073,-90.1314,41.3531
521,IL,Livingston,17105,-88.5578,40.8914
522,IL,Logan,17107,-89.3676,40.1245
523,IL,McDonough,17109,-90.678,40.4562
524,IL,McHenry,17111,-88.4524,42.3244
525,IL,McLean,17113,-88.8473,40.4908
526,IL,Macon,17115,-88.9617,39.8599
527,IL,Macoupin,17117,-89.9244,39.261
528,IL,Madison,17119,-89.9051,38.8299
529,IL,Marion,17121,-88.919,38.6496
530,IL,Marshall,17123,-89.3448,41.0332
531,IL,Mason,17125,-89.9168,40.2397
532,IL,Massac,17127,-88.7078,37.219
533,SD,Hyde,46069,-99.4871,44.5474
534,SD,Hutchinson,46067,-97.7546,43.3348
535,SD,Hughes,46065,-99.9961,44.389
536,SD,Harding,46063,-103.4959,45.5804
537,SD,Hanson,46061,-97.7874,43.6748
538,SD,Hand,46059,-99.005,44.5478
539,SD,Hamlin,46057,-97.1883,44.6737
540,SD,Haakon,46055,-101.54,44.2944
541,SD,Gregory,46053,-99.1856,43.1924
542,SD,Grant,46051,-96.7677,45.172
543,SD,Faulk,46049,-99.1453,45.0711
544,SD,Edmunds,46045,-99.2155,45.4188
545,SD,Douglas,46043,-98.3662,43.3871
546,SD,Dewey,46041,-100.8719,45.1566
547,SD,Deuel,46039,-96.668,44.76
548,SD,Day,46037,-97.6075,45.3672
549,SD,Davison,46035,-98.1461,43.675
550,SD,Corson,46031,-101.1969,45.7087
551,SD,Codington,46029,-97.1887,44.9778
552,SD,Clay,46027,-96.9757,42.9146
553,SD,Clark,46025,-97.7295,44.8582
554,SD,Charles Mix,46023,-98.5879,43.2079
555,SD,Campbell,46021,-100.0517,45.7711
556,SD,Buffalo,46017,-99.205,44.0763
557,SD,Brule,46015,-99.081,43.7181
558,SD,Brown,46013,-98.3516,45.5898
559,SD,Brookings,46011,-96.7905,44.3697
560,SD,Bon Homme,46009,-97.8847,42.9884
561,SD,Bennett,46007,-101.6639,43.1949
562,SD,Beadle,46005,-98.2782,44.4145
563,SD,Aurora,46003,-98.5616,43.7182
564,SD,Mellette,46095,-100.76,43.5811
565,SD,Butte,46019,-103.5081,44.9058
566,SD,Jones,46075,-100.6896,43.9604
567,SD,Turner,46125,-97.1488,43.3108
568,SD,Union,46127,-96.6561,42.8324
569,CO,Baca,8009,-102.5605,37.3192
570,CO,Bent,8011,-103.0717,37.9551
571,CO,Cheyenne,8017,-102.6034,38.8279
572,CO,Crowley,8025,-103.7849,38.3266
573,CO,Kit Carson,8063,-102.6029,39.3054
574,CO,Logan,8075,-103.1101,40.7247
575,CO,Morgan,8087,-103.8098,40.2627
576,CO,Otero,8089,-103.7164,37.9027
577,CO,Phillips,8095,-102.3575,40.5939
