fips,ps_wtotl,do_psdel,state,cluster_model1,color
54033,7.91,4.78,WV,242,red
54017,0.22,0.34,WV,278,red
13317,1.01,0.48,GA,276,red
13315,0.44,0.35,GA,278,red
13313,23.96,8.27,GA,291,red
13311,1.47,0.81,GA,170,red
13309,0.18,0.12,GA,111,red
13307,0.1,0.08,GA,111,red
13305,1.5,0.89,GA,170,red
13303,2.0,0.61,GA,243,red
13301,0.32,0.22,GA,111,red
13299,2.74,1.62,GA,122,red
13295,6.62,4.83,GA,242,red
13291,1.82,1.07,GA,179,red
13289,0.45,0.25,GA,278,red
13287,0.79,0.5,GA,15,red
13285,8.54,3.52,GA,277,red
13283,0.3,0.17,GA,111,red
13281,1.54,1.12,GA,166,red
13279,2.84,1.41,GA,52,red
13277,4.78,3.21,GA,4,red
13275,5.64,2.53,GA,231,red
13273,1.44,0.49,GA,276,red
13271,1.22,0.62,GA,276,red
13267,1.22,0.63,GA,276,red
13265,0.05,0.05,GA,111,red
13263,1.33,1.66,GA,250,red
13261,2.48,1.5,GA,52,red
13259,0.78,0.62,GA,15,red
13257,3.38,1.99,GA,162,red
13255,6.83,3.86,GA,131,red
13251,0.74,0.32,GA,278,red
13249,0.45,0.33,GA,278,red
13247,11.76,5.42,GA,213,red
13245,39.17,13.24,GA,248,red
13243,0.88,0.6,GA,15,red
13241,1.6,0.96,GA,170,red
13237,3.76,0.74,GA,289,red
13235,1.09,0.64,GA,15,red
13233,5.6,3.26,GA,231,red
13231,2.97,5.11,GA,133,red
13229,0.57,0.42,GA,278,red
13227,2.77,2.37,GA,282,red
13225,2.31,1.34,GA,52,red
13223,0.1,8.07,GA,275,red
13221,0.26,0.24,GA,111,red
13219,0.35,1.62,GA,293,red
13217,13.73,6.35,GA,115,red
13215,36.77,17.03,GA,113,red
13091,1.39,0.75,GA,170,red
13093,2.28,0.74,GA,258,red
13095,11.57,6.21,GA,247,red
13097,17.52,6.52,GA,259,red
13099,1.21,0.76,GA,170,red
13101,0.05,0.05,GA,111,red
13105,1.59,0.68,GA,243,red
13107,1.59,1.07,GA,170,red
13111,1.75,0.99,GA,179,red
13113,9.46,7.0,GA,185,red
13115,11.8,6.23,GA,33,red
13117,20.61,12.34,GA,264,red
13119,1.95,0.9,GA,179,red
13123,2.5,0.56,GA,258,red
13125,0.07,0.07,GA,111,red
13129,10.43,3.94,GA,143,red
13131,1.73,1.21,GA,166,red
13133,1.23,0.97,GA,170,red
13135,0.64,51.2,GA,266,red
13137,5.66,2.86,GA,231,red
13139,88.18,5.26,GA,97,red
13141,1.2,0.45,GA,276,red
13143,2.53,1.6,GA,52,red
13145,6.26,2.16,GA,273,red
13147,1.46,1.07,GA,170,red
13149,1.22,0.5,GA,276,red
13151,34.13,24.67,GA,212,red
13153,23.75,15.75,GA,205,red
13155,0.44,0.22,GA,278,red
13157,9.52,3.98,GA,135,red
13063,10.76,20.59,GA,218,red
13163,1.32,0.89,GA,170,red
